dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,value,baseline_value,trade_spend_total,trade_spend_incl_cogs,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,number_of_records,PPI,BP,FEDI,DISO,FEAO
ADW DETERGENT,2014,Hyper+Super Markets,HOMECARE,<0,352970.073,669752.406,7434.185549,-62322.33682,705,135,128,840,-163240.0276,69756.52237,840,774,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2014,Hyper+Super Markets,HOMECARE,>1,36720737.67,11607084.71,18296087.97,9088425.155,58149,11751,17588,59240,4424974.915,9207662.817,59240,26563,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2015,Hyper+Super Markets,HOMECARE,,102151044.7,87662818.01,4171983.909,4171983.909,0,0,0,0,0,0,818145,17773,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2015,Hyper+Super Markets,HOMECARE,0-1,7715283.187,5869211.338,3501704.812,1176122.89,22485,2642,3547,23066,-561397.5866,2325581.922,23066,10390,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2015,Hyper+Super Markets,HOMECARE,<0,408275.456,797590.63,8113.517164,-76539.94312,854,208,148,1038,-199463.375,84653.46028,1038,897,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2015,Hyper+Super Markets,HOMECARE,>1,36847568.3,10884084.96,18456730.33,9301223.614,66382,13175,18512,67880,4796328.704,9155506.717,67880,28179,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW RINSE,2013,Hyper+Super Markets,HOMECARE,,9137453.095,9095423.333,37288.0908,37288.0908,0,0,0,0,0,0,82947,1933,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2013,Hyper+Super Markets,HOMECARE,0-1,1597467.118,1369780.243,430156.0368,129624.0081,5769,502,1088,5818,-106096.0165,300532.0287,5818,2262,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2013,Hyper+Super Markets,HOMECARE,<0,8528.079,11894.947,513.392179,-672.4828352,57,20,17,84,-2194.599267,1185.875014,84,80,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2013,Hyper+Super Markets,HOMECARE,>1,1150104.491,580513.856,455779.2153,208748.7069,4088,751,1110,4144,66092.55184,247030.5085,4144,1903,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2014,Hyper+Super Markets,HOMECARE,,9488059.768,9427652.286,42915.95796,42915.95796,0,0,0,0,0,0,86090,2076,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2014,Hyper+Super Markets,HOMECARE,0-1,1630930.806,1383653.879,453843.3306,139594.8896,6199,678,1059,6254,-104856.1066,314248.441,6254,2370,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2014,Hyper+Super Markets,HOMECARE,<0,7470.433,9217.152,1103.293649,-183.2188561,54,7,12,67,-1561.340789,1286.512505,67,66,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2014,Hyper+Super Markets,HOMECARE,>1,1183003.647,599122.622,464148.6385,212379.254,4396,836,1147,4436,66799.49652,251769.3845,4436,1943,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2015,Hyper+Super Markets,HOMECARE,,10299035.14,10230134.71,47977.55071,47977.55071,0,0,0,0,0,0,92328,2210,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2015,Hyper+Super Markets,HOMECARE,0-1,1514203.253,1297447.153,409813.7748,125029.3169,6342,625,916,6407,-97240.48243,284784.4578,6407,2388,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2015,Hyper+Super Markets,HOMECARE,<0,16006.769,18095.171,1754.950052,-217.1902777,67,13,13,85,-2297.925746,1972.14033,85,82,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW RINSE,2015,Hyper+Super Markets,HOMECARE,>1,1140936.487,569039.101,463471.541,211577.4077,4877,964,1161,4925,65471.97828,251894.1333,4925,2142,-2.270513343,-1.574038424,0.370590684,0.276192218,0.126637378
ADW SALT,2013,Hyper+Super Markets,HOMECARE,,10741049.48,10792193,3391.350993,3391.350993,0,0,0,0,0,0,48236,636,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2013,Hyper+Super Markets,HOMECARE,0-1,471431.021,437671.977,143348.0843,36909.35692,1370,136,164,1376,-51074.69199,106438.7274,1376,566,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2013,Hyper+Super Markets,HOMECARE,<0,1780.086,2092.279,230.4521804,-30.00997454,5,2,1,7,-305.4771167,260.4621549,7,7,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2013,Hyper+Super Markets,HOMECARE,>1,231196.372,97645.581,105294.4497,48847.07679,670,108,121,670,16823.24229,56447.3729,670,320,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2014,Hyper+Super Markets,HOMECARE,,10753169.16,10821543.71,2168.047122,2168.047122,0,0,0,0,0,0,50328,771,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2014,Hyper+Super Markets,HOMECARE,0-1,607171.489,567915.771,164747.1174,40681.24221,1541,106,140,1542,-63044.01189,124065.8752,1542,600,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2014,Hyper+Super Markets,HOMECARE,<0,260.088,288.237,42.99612306,-1.12536034,4,0,0,4,-45.80952391,44.1214834,4,4,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2014,Hyper+Super Markets,HOMECARE,>1,130613.311,59627.454,55519.75524,25640.96281,515,60,50,517,8582.651772,29878.79244,517,248,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2015,Hyper+Super Markets,HOMECARE,,10494167.66,10567995.55,1457.881026,1457.881026,0,0,0,0,0,0,51224,748,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2015,Hyper+Super Markets,HOMECARE,0-1,647849.978,609828.394,178619.7512,44241.98232,1591,69,110,1593,-68014.7954,134377.7689,1593,580,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2015,Hyper+Super Markets,HOMECARE,<0,197.467,215.198,30.24089728,-0.41954432,3,0,0,3,-31.28975808,30.6604416,3,3,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
ADW SALT,2015,Hyper+Super Markets,HOMECARE,>1,46328.258,24817.483,17315.53254,7927.013499,352,18,18,352,2502.001212,9388.519037,352,204,-1.169049196,-0.639850605,0.491493634,0.223850619,0.171405739
AFTER SHAVE,2013,Hyper+Super Markets,HBA,,17096434.06,17018385.84,59898.28056,59898.28056,0,0,0,0,0,0,408098,5984,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2013,Hyper+Super Markets,HBA,0-1,1450421.683,1231488.881,379240.3826,119832.2581,10972,1174,1921,11189,-79659.73724,259408.1245,11189,5268,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2013,Hyper+Super Markets,HBA,<0,19171.541,24387.281,2153.369708,-775.253953,262,48,47,310,-4091.50459,2928.623661,310,302,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2013,Hyper+Super Markets,HBA,>1,1768058.772,901579.88,685065.1864,318087.2086,12847,2112,2953,13049,110152.835,366977.9778,13049,6458,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2014,Hyper+Super Markets,HBA,,15819937.15,15756030.68,55928.38476,55928.38476,0,0,0,0,0,0,403910,6111,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2014,Hyper+Super Markets,HBA,0-1,1389646.914,1173436.125,383454.7059,122245.1932,11764,1272,1890,11950,-77841.72279,261209.5126,11950,5584,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2014,Hyper+Super Markets,HBA,<0,18689.663,25347.257,1866.309131,-1110.941331,252,28,44,289,-4643.662458,2977.250462,289,278,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2014,Hyper+Super Markets,HBA,>1,1934480.22,988304.385,746096.6963,346690.4603,13919,2180,3071,14103,120629.4545,399406.236,14103,6666,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2015,Hyper+Super Markets,HBA,,14896816.34,14821642.16,54956.96812,54956.96812,0,0,0,0,0,0,405753,6464,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2015,Hyper+Super Markets,HBA,0-1,1200719.296,1019317.46,316522.3346,100325.2133,10868,992,1574,11033,-65709.30134,216197.1213,11033,4936,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2015,Hyper+Super Markets,HBA,<0,13058.727,16559.62,1443.007423,-487.3985051,208,27,20,235,-2661.503685,1930.405928,235,225,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTER SHAVE,2015,Hyper+Super Markets,HBA,>1,1614076.824,851134.134,600891.0703,279261.9362,12871,1798,2571,13052,97263.77011,321629.1341,13052,5932,-1.361323528,-0.869358753,0.356005436,0.180292818,0.143034226
AFTERSUN,2013,Hyper+Super Markets,HBA,,8235803.62,7954636.855,92864.36339,92864.36339,0,0,0,0,0,0,215372,5602,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2013,Hyper+Super Markets,HBA,0-1,862735.29,696973.098,272086.9607,90070.71265,5085,915,654,5249,-46910.17905,182016.248,5249,3493,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2013,Hyper+Super Markets,HBA,<0,25052.553,31974.324,2344.604096,-1100.239871,237,24,23,267,-5095.203772,3444.843966,267,262,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2013,Hyper+Super Markets,HBA,>1,1835698.832,887296.63,734382.5355,344431.2482,7456,1738,1124,7652,126695.5849,389951.2874,7652,4564,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2014,Hyper+Super Markets,HBA,,6769948.716,6593177.997,64162.16588,64162.16588,0,0,0,0,0,0,204781,5383,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2014,Hyper+Super Markets,HBA,0-1,895337.223,726098.611,285068.5731,93777.89269,5684,1183,574,5859,-50623.84134,191290.6804,5859,3798,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2014,Hyper+Super Markets,HBA,<0,19847.854,26261.904,1959.622186,-1040.982502,215,48,25,259,-4562.078442,3000.604688,259,250,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2014,Hyper+Super Markets,HBA,>1,1931976.55,982551.587,734591.1307,343916.117,7802,1839,1063,7985,125199.1618,390675.0137,7985,4642,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2015,Hyper+Super Markets,HBA,,7509113.126,7335371.738,65403.48518,65403.48518,0,0,0,0,0,0,217481,5310,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2015,Hyper+Super Markets,HBA,0-1,760682.375,609114.063,251919.3192,84319.16904,4996,665,430,5101,-41121.39657,167600.1501,5101,3276,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2015,Hyper+Super Markets,HBA,<0,16204.203,20479.909,1661.225597,-642.528405,144,10,7,153,-3267.54661,2303.754002,153,148,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AFTERSUN,2015,Hyper+Super Markets,HBA,>1,1646230.293,834970.456,628878.0889,295518.9991,7270,1236,688,7371,109919.4088,333359.0898,7371,4328,-1.300567019,-1.186113983,0.164070724,0.055398665,0.071936763
AIR FRESHENERS,2013,Hyper+Super Markets,HOMECARE,,118934689,118444438.3,385734.694,385734.694,0,0,0,0,0,0,4132702,48566,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
